This job can be monitored from: https://scruffy.c3se.chalmers.se/d/alvis-job/alvis-job?var-jobid=551743&from=1662750828000
flat_modules is the only option now for updated Alvis nodes. You can remove this function call.
  0%|          | 0/23 [00:00<?, ?it/s]
epoch 200 iter 22: train loss 0.96342. lr 5.999999e-03: 100%|██████████| 23/23 [00:02<00:00, 10.61it/s]

  0%|          | 0/23 [00:00<?, ?it/s]
epoch 201 iter 0: train loss 0.99796. lr 5.999999e-03:   0%|          | 0/23 [00:00<?, ?it/s]
epoch 201 iter 1: train loss 0.95979. lr 5.999999e-03:   0%|          | 0/23 [00:00<?, ?it/s]
epoch 201 iter 1: train loss 0.95979. lr 5.999999e-03:   9%|▊         | 2/23 [00:00<00:01, 12.83it/s]
epoch 201 iter 2: train loss 0.96011. lr 5.999999e-03:   9%|▊         | 2/23 [00:00<00:01, 12.83it/s]
epoch 201 iter 3: train loss 0.92830. lr 5.999999e-03:   9%|▊         | 2/23 [00:00<00:01, 12.83it/s]
epoch 201 iter 3: train loss 0.92830. lr 5.999999e-03:  17%|█▋        | 4/23 [00:00<00:01, 12.09it/s]
epoch 201 iter 4: train loss 1.00812. lr 5.999999e-03:  17%|█▋        | 4/23 [00:00<00:01, 12.09it/s]
epoch 201 iter 5: train loss 0.98609. lr 5.999999e-03:  17%|█▋        | 4/23 [00:00<00:01, 12.09it/s]
epoch 201 iter 5: train loss 0.98609. lr 5.999999e-03:  26%|██▌       | 6/23 [00:00<00:01, 12.05it/s]
epoch 201 iter 6: train loss 0.97036. lr 5.999999e-03:  26%|██▌       | 6/23 [00:00<00:01, 12.05it/s]
epoch 201 iter 7: train loss 0.98512. lr 5.999999e-03:  26%|██▌       | 6/23 [00:00<00:01, 12.05it/s]
epoch 201 iter 7: train loss 0.98512. lr 5.999999e-03:  35%|███▍      | 8/23 [00:00<00:01, 11.79it/s]
epoch 201 iter 8: train loss 0.95853. lr 5.999999e-03:  35%|███▍      | 8/23 [00:00<00:01, 11.79it/s]
epoch 201 iter 9: train loss 0.99607. lr 5.999999e-03:  35%|███▍      | 8/23 [00:00<00:01, 11.79it/s]
epoch 201 iter 9: train loss 0.99607. lr 5.999999e-03:  43%|████▎     | 10/23 [00:00<00:01, 11.74it/s]
epoch 201 iter 10: train loss 0.95057. lr 5.999999e-03:  43%|████▎     | 10/23 [00:00<00:01, 11.74it/s]
epoch 201 iter 10: train loss 0.95057. lr 5.999999e-03:  48%|████▊     | 11/23 [00:00<00:01, 10.96it/s]
epoch 201 iter 11: train loss 0.97141. lr 5.999999e-03:  48%|████▊     | 11/23 [00:01<00:01, 10.96it/s]
epoch 201 iter 11: train loss 0.97141. lr 5.999999e-03:  52%|█████▏    | 12/23 [00:01<00:01,  9.86it/s]
epoch 201 iter 12: train loss 0.95991. lr 5.999999e-03:  52%|█████▏    | 12/23 [00:01<00:01,  9.86it/s]
epoch 201 iter 13: train loss 0.97602. lr 5.999999e-03:  52%|█████▏    | 12/23 [00:01<00:01,  9.86it/s]
epoch 201 iter 13: train loss 0.97602. lr 5.999999e-03:  61%|██████    | 14/23 [00:01<00:00, 10.49it/s]
epoch 201 iter 14: train loss 0.96693. lr 5.999999e-03:  61%|██████    | 14/23 [00:01<00:00, 10.49it/s]
epoch 201 iter 15: train loss 0.98999. lr 5.999999e-03:  61%|██████    | 14/23 [00:01<00:00, 10.49it/s]
epoch 201 iter 15: train loss 0.98999. lr 5.999999e-03:  70%|██████▉   | 16/23 [00:01<00:00, 11.14it/s]
epoch 201 iter 16: train loss 0.96570. lr 5.999999e-03:  70%|██████▉   | 16/23 [00:01<00:00, 11.14it/s]
epoch 201 iter 17: train loss 0.96841. lr 5.999999e-03:  70%|██████▉   | 16/23 [00:01<00:00, 11.14it/s]
epoch 201 iter 17: train loss 0.96841. lr 5.999999e-03:  78%|███████▊  | 18/23 [00:01<00:00, 11.66it/s]
epoch 201 iter 18: train loss 0.95425. lr 5.999999e-03:  78%|███████▊  | 18/23 [00:01<00:00, 11.66it/s]
epoch 201 iter 19: train loss 0.94981. lr 5.999999e-03:  78%|███████▊  | 18/23 [00:01<00:00, 11.66it/s]
epoch 201 iter 19: train loss 0.94981. lr 5.999999e-03:  87%|████████▋ | 20/23 [00:01<00:00, 10.97it/s]
epoch 201 iter 20: train loss 0.95074. lr 5.999999e-03:  87%|████████▋ | 20/23 [00:01<00:00, 10.97it/s]
epoch 201 iter 21: train loss 0.97886. lr 5.999999e-03:  87%|████████▋ | 20/23 [00:01<00:00, 10.97it/s]
epoch 201 iter 21: train loss 0.97886. lr 5.999999e-03:  96%|█████████▌| 22/23 [00:01<00:00, 11.21it/s]
epoch 201 iter 22: train loss 0.95070. lr 5.999999e-03:  96%|█████████▌| 22/23 [00:02<00:00, 11.21it/s]
epoch 201 iter 22: train loss 0.95070. lr 5.999999e-03: 100%|██████████| 23/23 [00:02<00:00, 11.27it/s]

  0%|          | 0/23 [00:00<?, ?it/s]
epoch 202 iter 0: train loss 0.96524. lr 5.999999e-03:   0%|          | 0/23 [00:00<?, ?it/s]
epoch 202 iter 1: train loss 0.93290. lr 5.999999e-03:   0%|          | 0/23 [00:00<?, ?it/s]
epoch 202 iter 1: train loss 0.93290. lr 5.999999e-03:   9%|▊         | 2/23 [00:00<00:01, 12.52it/s]
epoch 202 iter 2: train loss 0.94206. lr 5.999999e-03:   9%|▊         | 2/23 [00:00<00:01, 12.52it/s]
epoch 202 iter 3: train loss 0.95583. lr 5.999999e-03:   9%|▊         | 2/23 [00:00<00:01, 12.52it/s]
epoch 202 iter 3: train loss 0.95583. lr 5.999999e-03:  17%|█▋        | 4/23 [00:00<00:01, 12.63it/s]
epoch 202 iter 4: train loss 0.96442. lr 5.999999e-03:  17%|█▋        | 4/23 [00:00<00:01, 12.63it/s]
epoch 202 iter 5: train loss 0.99199. lr 5.999999e-03:  17%|█▋        | 4/23 [00:00<00:01, 12.63it/s]
epoch 202 iter 5: train loss 0.99199. lr 5.999999e-03:  26%|██▌       | 6/23 [00:00<00:01, 12.66it/s]
epoch 202 iter 6: train loss 0.95310. lr 5.999999e-03:  26%|██▌       | 6/23 [00:00<00:01, 12.66it/s]
epoch 202 iter 7: train loss 0.95376. lr 5.999999e-03:  26%|██▌       | 6/23 [00:00<00:01, 12.66it/s]
epoch 202 iter 7: train loss 0.95376. lr 5.999999e-03:  35%|███▍      | 8/23 [00:00<00:01, 12.29it/s]
epoch 202 iter 8: train loss 0.95715. lr 5.999999e-03:  35%|███▍      | 8/23 [00:00<00:01, 12.29it/s]
epoch 202 iter 9: train loss 1.00425. lr 5.999999e-03:  35%|███▍      | 8/23 [00:00<00:01, 12.29it/s]
epoch 202 iter 9: train loss 1.00425. lr 5.999999e-03:  43%|████▎     | 10/23 [00:00<00:01, 12.40it/s]
epoch 202 iter 10: train loss 0.95886. lr 5.999999e-03:  43%|████▎     | 10/23 [00:00<00:01, 12.40it/s]
epoch 202 iter 11: train loss 0.94104. lr 5.999999e-03:  43%|████▎     | 10/23 [00:00<00:01, 12.40it/s]
epoch 202 iter 11: train loss 0.94104. lr 5.999999e-03:  52%|█████▏    | 12/23 [00:00<00:00, 12.58it/s]
epoch 202 iter 12: train loss 0.97255. lr 5.999999e-03:  52%|█████▏    | 12/23 [00:01<00:00, 12.58it/s]
epoch 202 iter 13: train loss 0.98989. lr 5.999999e-03:  52%|█████▏    | 12/23 [00:01<00:00, 12.58it/s]
epoch 202 iter 13: train loss 0.98989. lr 5.999999e-03:  61%|██████    | 14/23 [00:01<00:00, 12.19it/s]
epoch 202 iter 14: train loss 0.96745. lr 5.999999e-03:  61%|██████    | 14/23 [00:01<00:00, 12.19it/s]
epoch 202 iter 15: train loss 0.93281. lr 5.999999e-03:  61%|██████    | 14/23 [00:01<00:00, 12.19it/s]
epoch 202 iter 15: train loss 0.93281. lr 5.999999e-03:  70%|██████▉   | 16/23 [00:01<00:00, 12.22it/s]
epoch 202 iter 16: train loss 0.93520. lr 5.999999e-03:  70%|██████▉   | 16/23 [00:01<00:00, 12.22it/s]
epoch 202 iter 17: train loss 0.95916. lr 5.999999e-03:  70%|██████▉   | 16/23 [00:01<00:00, 12.22it/s]
epoch 202 iter 17: train loss 0.95916. lr 5.999999e-03:  78%|███████▊  | 18/23 [00:01<00:00, 11.76it/s]
epoch 202 iter 18: train loss 0.96696. lr 5.999999e-03:  78%|███████▊  | 18/23 [00:01<00:00, 11.76it/s]
epoch 202 iter 19: train loss 0.97379. lr 5.999999e-03:  78%|███████▊  | 18/23 [00:01<00:00, 11.76it/s]
epoch 202 iter 19: train loss 0.97379. lr 5.999999e-03:  87%|████████▋ | 20/23 [00:01<00:00, 10.74it/s]
epoch 202 iter 20: train loss 0.97257. lr 5.999999e-03:  87%|████████▋ | 20/23 [00:01<00:00, 10.74it/s]
epoch 202 iter 21: train loss 0.97898. lr 5.999999e-03:  87%|████████▋ | 20/23 [00:01<00:00, 10.74it/s]
epoch 202 iter 21: train loss 0.97898. lr 5.999999e-03:  96%|█████████▌| 22/23 [00:01<00:00, 10.64it/s]
epoch 202 iter 22: train loss 0.93387. lr 5.999999e-03:  96%|█████████▌| 22/23 [00:01<00:00, 10.64it/s]
epoch 202 iter 22: train loss 0.93387. lr 5.999999e-03: 100%|██████████| 23/23 [00:01<00:00, 11.55it/s]

  0%|          | 0/23 [00:00<?, ?it/s]
epoch 203 iter 0: train loss 0.95931. lr 5.999999e-03:   0%|          | 0/23 [00:00<?, ?it/s]
epoch 203 iter 1: train loss 0.93825. lr 5.999999e-03:   0%|          | 0/23 [00:00<?, ?it/s]
epoch 203 iter 1: train loss 0.93825. lr 5.999999e-03:   9%|▊         | 2/23 [00:00<00:01, 12.28it/s]
epoch 203 iter 2: train loss 0.95794. lr 5.999999e-03:   9%|▊         | 2/23 [00:00<00:01, 12.28it/s]
epoch 203 iter 3: train loss 0.93856. lr 5.999999e-03:   9%|▊         | 2/23 [00:00<00:01, 12.28it/s]
epoch 203 iter 3: train loss 0.93856. lr 5.999999e-03:  17%|█▋        | 4/23 [00:00<00:01, 12.21it/s]
epoch 203 iter 4: train loss 0.97515. lr 5.999999e-03:  17%|█▋        | 4/23 [00:00<00:01, 12.21it/s]
epoch 203 iter 5: train loss 0.93484. lr 5.999999e-03:  17%|█▋        | 4/23 [00:00<00:01, 12.21it/s]
epoch 203 iter 5: train loss 0.93484. lr 5.999999e-03:  26%|██▌       | 6/23 [00:00<00:01, 12.03it/s]
epoch 203 iter 6: train loss 0.94091. lr 5.999999e-03:  26%|██▌       | 6/23 [00:00<00:01, 12.03it/s]
epoch 203 iter 7: train loss 0.95676. lr 5.999999e-03:  26%|██▌       | 6/23 [00:00<00:01, 12.03it/s]
epoch 203 iter 7: train loss 0.95676. lr 5.999999e-03:  35%|███▍      | 8/23 [00:00<00:01, 11.64it/s]
epoch 203 iter 8: train loss 0.93525. lr 5.999999e-03:  35%|███▍      | 8/23 [00:00<00:01, 11.64it/s]
epoch 203 iter 8: train loss 0.93525. lr 5.999999e-03:  39%|███▉      | 9/23 [00:00<00:01,  9.46it/s]
epoch 203 iter 9: train loss 0.97662. lr 5.999999e-03:  39%|███▉      | 9/23 [00:00<00:01,  9.46it/s]
epoch 203 iter 9: train loss 0.97662. lr 5.999999e-03:  43%|████▎     | 10/23 [00:00<00:01,  8.70it/s]
epoch 203 iter 10: train loss 0.95807. lr 5.999999e-03:  43%|████▎     | 10/23 [00:01<00:01,  8.70it/s]
epoch 203 iter 10: train loss 0.95807. lr 5.999999e-03:  48%|████▊     | 11/23 [00:01<00:01,  7.06it/s]
epoch 203 iter 11: train loss 0.94851. lr 5.999999e-03:  48%|████▊     | 11/23 [00:01<00:01,  7.06it/s]
epoch 203 iter 11: train loss 0.94851. lr 5.999999e-03:  52%|█████▏    | 12/23 [00:01<00:01,  6.29it/s]
epoch 203 iter 12: train loss 0.96107. lr 5.999999e-03:  52%|█████▏    | 12/23 [00:01<00:01,  6.29it/s]
epoch 203 iter 12: train loss 0.96107. lr 5.999999e-03:  57%|█████▋    | 13/23 [00:01<00:01,  6.79it/s]
epoch 203 iter 13: train loss 0.96686. lr 5.999999e-03:  57%|█████▋    | 13/23 [00:01<00:01,  6.79it/s]
epoch 203 iter 13: train loss 0.96686. lr 5.999999e-03:  61%|██████    | 14/23 [00:01<00:01,  7.21it/s]
epoch 203 iter 14: train loss 0.93650. lr 5.999999e-03:  61%|██████    | 14/23 [00:01<00:01,  7.21it/s]
epoch 203 iter 14: train loss 0.93650. lr 5.999999e-03:  65%|██████▌   | 15/23 [00:01<00:01,  7.23it/s]
epoch 203 iter 15: train loss 0.93770. lr 5.999999e-03:  65%|██████▌   | 15/23 [00:01<00:01,  7.23it/s]
epoch 203 iter 15: train loss 0.93770. lr 5.999999e-03:  70%|██████▉   | 16/23 [00:01<00:01,  6.97it/s]
epoch 203 iter 16: train loss 0.95508. lr 5.999999e-03:  70%|██████▉   | 16/23 [00:02<00:01,  6.97it/s]
epoch 203 iter 16: train loss 0.95508. lr 5.999999e-03:  74%|███████▍  | 17/23 [00:02<00:00,  6.81it/s]
epoch 203 iter 17: train loss 0.96277. lr 5.999999e-03:  74%|███████▍  | 17/23 [00:02<00:00,  6.81it/s]
epoch 203 iter 17: train loss 0.96277. lr 5.999999e-03:  78%|███████▊  | 18/23 [00:02<00:00,  6.85it/s]
epoch 203 iter 18: train loss 0.93818. lr 5.999999e-03:  78%|███████▊  | 18/23 [00:02<00:00,  6.85it/s]
epoch 203 iter 18: train loss 0.93818. lr 5.999999e-03:  83%|████████▎ | 19/23 [00:02<00:00,  7.01it/s]
epoch 203 iter 19: train loss 0.95226. lr 5.999999e-03:  83%|████████▎ | 19/23 [00:02<00:00,  7.01it/s]
epoch 203 iter 19: train loss 0.95226. lr 5.999999e-03:  87%|████████▋ | 20/23 [00:02<00:00,  7.05it/s]
epoch 203 iter 20: train loss 1.01247. lr 5.999999e-03:  87%|████████▋ | 20/23 [00:02<00:00,  7.05it/s]
epoch 203 iter 20: train loss 1.01247. lr 5.999999e-03:  91%|█████████▏| 21/23 [00:02<00:00,  6.27it/s]
epoch 203 iter 21: train loss 0.96532. lr 5.999999e-03:  91%|█████████▏| 21/23 [00:02<00:00,  6.27it/s]
epoch 203 iter 21: train loss 0.96532. lr 5.999999e-03:  96%|█████████▌| 22/23 [00:02<00:00,  6.67it/s]
epoch 203 iter 22: train loss 0.98854. lr 5.999999e-03:  96%|█████████▌| 22/23 [00:02<00:00,  6.67it/s]
epoch 203 iter 22: train loss 0.98854. lr 5.999999e-03: 100%|██████████| 23/23 [00:02<00:00,  7.27it/s]

  0%|          | 0/23 [00:00<?, ?it/s]
epoch 204 iter 0: train loss 0.95695. lr 5.999999e-03:   0%|          | 0/23 [00:00<?, ?it/s]
epoch 204 iter 1: train loss 0.97333. lr 5.999999e-03:   0%|          | 0/23 [00:00<?, ?it/s]
epoch 204 iter 1: train loss 0.97333. lr 5.999999e-03:   9%|▊         | 2/23 [00:00<00:02,  9.70it/s]
epoch 204 iter 2: train loss 0.98029. lr 5.999999e-03:   9%|▊         | 2/23 [00:00<00:02,  9.70it/s]
epoch 204 iter 2: train loss 0.98029. lr 5.999999e-03:  13%|█▎        | 3/23 [00:00<00:02,  8.59it/s]
epoch 204 iter 3: train loss 0.99691. lr 5.999999e-03:  13%|█▎        | 3/23 [00:00<00:02,  8.59it/s]
epoch 204 iter 3: train loss 0.99691. lr 5.999999e-03:  17%|█▋        | 4/23 [00:00<00:02,  7.63it/s]
epoch 204 iter 4: train loss 0.96084. lr 5.999999e-03:  17%|█▋        | 4/23 [00:00<00:02,  7.63it/s]
epoch 204 iter 4: train loss 0.96084. lr 5.999999e-03:  22%|██▏       | 5/23 [00:00<00:02,  6.68it/s]
epoch 204 iter 5: train loss 0.95641. lr 5.999999e-03:  22%|██▏       | 5/23 [00:00<00:02,  6.68it/s]
epoch 204 iter 5: train loss 0.95641. lr 5.999999e-03:  26%|██▌       | 6/23 [00:00<00:02,  6.80it/s]
epoch 204 iter 6: train loss 0.96193. lr 5.999999e-03:  26%|██▌       | 6/23 [00:00<00:02,  6.80it/s]
epoch 204 iter 6: train loss 0.96193. lr 5.999999e-03:  30%|███       | 7/23 [00:00<00:02,  7.43it/s]
epoch 204 iter 7: train loss 0.94958. lr 5.999999e-03:  30%|███       | 7/23 [00:01<00:02,  7.43it/s]
epoch 204 iter 7: train loss 0.94958. lr 5.999999e-03:  35%|███▍      | 8/23 [00:01<00:02,  6.85it/s]
epoch 204 iter 8: train loss 0.98441. lr 5.999999e-03:  35%|███▍      | 8/23 [00:01<00:02,  6.85it/s]
epoch 204 iter 8: train loss 0.98441. lr 5.999999e-03:  39%|███▉      | 9/23 [00:01<00:02,  6.91it/s]
epoch 204 iter 9: train loss 1.02963. lr 5.999999e-03:  39%|███▉      | 9/23 [00:01<00:02,  6.91it/s]
epoch 204 iter 9: train loss 1.02963. lr 5.999999e-03:  43%|████▎     | 10/23 [00:01<00:02,  5.80it/s]
epoch 204 iter 10: train loss 0.96665. lr 5.999999e-03:  43%|████▎     | 10/23 [00:01<00:02,  5.80it/s]
epoch 204 iter 10: train loss 0.96665. lr 5.999999e-03:  48%|████▊     | 11/23 [00:01<00:02,  5.31it/s]
epoch 204 iter 11: train loss 0.93498. lr 5.999999e-03:  48%|████▊     | 11/23 [00:01<00:02,  5.31it/s]
epoch 204 iter 11: train loss 0.93498. lr 5.999999e-03:  52%|█████▏    | 12/23 [00:01<00:01,  5.51it/s]
epoch 204 iter 12: train loss 0.94955. lr 5.999999e-03:  52%|█████▏    | 12/23 [00:02<00:01,  5.51it/s]
epoch 204 iter 12: train loss 0.94955. lr 5.999999e-03:  57%|█████▋    | 13/23 [00:02<00:01,  5.68it/s]
epoch 204 iter 13: train loss 0.97209. lr 5.999999e-03:  57%|█████▋    | 13/23 [00:02<00:01,  5.68it/s]
epoch 204 iter 13: train loss 0.97209. lr 5.999999e-03:  61%|██████    | 14/23 [00:02<00:01,  5.17it/s]
epoch 204 iter 14: train loss 0.93499. lr 5.999999e-03:  61%|██████    | 14/23 [00:02<00:01,  5.17it/s]
epoch 204 iter 14: train loss 0.93499. lr 5.999999e-03:  65%|██████▌   | 15/23 [00:02<00:01,  4.74it/s]
epoch 204 iter 15: train loss 0.95920. lr 5.999999e-03:  65%|██████▌   | 15/23 [00:02<00:01,  4.74it/s]
epoch 204 iter 15: train loss 0.95920. lr 5.999999e-03:  70%|██████▉   | 16/23 [00:02<00:01,  5.39it/s]
epoch 204 iter 16: train loss 0.95674. lr 5.999999e-03:  70%|██████▉   | 16/23 [00:02<00:01,  5.39it/s]
epoch 204 iter 16: train loss 0.95674. lr 5.999999e-03:  74%|███████▍  | 17/23 [00:02<00:01,  5.79it/s]
epoch 204 iter 17: train loss 0.94012. lr 5.999999e-03:  74%|███████▍  | 17/23 [00:02<00:01,  5.79it/s]
epoch 204 iter 17: train loss 0.94012. lr 5.999999e-03:  78%|███████▊  | 18/23 [00:02<00:00,  6.21it/s]
epoch 204 iter 18: train loss 0.93781. lr 5.999999e-03:  78%|███████▊  | 18/23 [00:03<00:00,  6.21it/s]
epoch 204 iter 18: train loss 0.93781. lr 5.999999e-03:  83%|████████▎ | 19/23 [00:03<00:00,  6.84it/s]
epoch 204 iter 19: train loss 0.94387. lr 5.999999e-03:  83%|████████▎ | 19/23 [00:03<00:00,  6.84it/s]
epoch 204 iter 19: train loss 0.94387. lr 5.999999e-03:  87%|████████▋ | 20/23 [00:03<00:00,  6.82it/s]
epoch 204 iter 20: train loss 0.98989. lr 5.999999e-03:  87%|████████▋ | 20/23 [00:03<00:00,  6.82it/s]
epoch 204 iter 20: train loss 0.98989. lr 5.999999e-03:  91%|█████████▏| 21/23 [00:03<00:00,  6.27it/s]
epoch 204 iter 21: train loss 0.93561. lr 5.999999e-03:  91%|█████████▏| 21/23 [00:03<00:00,  6.27it/s]
epoch 204 iter 21: train loss 0.93561. lr 5.999999e-03:  96%|█████████▌| 22/23 [00:03<00:00,  6.30it/s]
epoch 204 iter 22: train loss 0.94063. lr 5.999999e-03:  96%|█████████▌| 22/23 [00:03<00:00,  6.30it/s]
epoch 204 iter 22: train loss 0.94063. lr 5.999999e-03: 100%|██████████| 23/23 [00:03<00:00,  7.05it/s]

  0%|          | 0/23 [00:00<?, ?it/s]
epoch 205 iter 0: train loss 0.97850. lr 5.999999e-03:   0%|          | 0/23 [00:00<?, ?it/s]
epoch 205 iter 0: train loss 0.97850. lr 5.999999e-03:   4%|▍         | 1/23 [00:00<00:04,  4.56it/s]
epoch 205 iter 1: train loss 0.94508. lr 5.999999e-03:   4%|▍         | 1/23 [00:00<00:04,  4.56it/s]
epoch 205 iter 1: train loss 0.94508. lr 5.999999e-03:   9%|▊         | 2/23 [00:00<00:03,  5.40it/s]
epoch 205 iter 2: train loss 0.97112. lr 5.999999e-03:   9%|▊         | 2/23 [00:00<00:03,  5.40it/s]
epoch 205 iter 2: train loss 0.97112. lr 5.999999e-03:  13%|█▎        | 3/23 [00:00<00:03,  5.58it/s]
epoch 205 iter 3: train loss 0.92677. lr 5.999999e-03:  13%|█▎        | 3/23 [00:00<00:03,  5.58it/s]
epoch 205 iter 3: train loss 0.92677. lr 5.999999e-03:  17%|█▋        | 4/23 [00:00<00:03,  5.11it/s]
epoch 205 iter 4: train loss 0.96932. lr 5.999999e-03:  17%|█▋        | 4/23 [00:00<00:03,  5.11it/s]
epoch 205 iter 4: train loss 0.96932. lr 5.999999e-03:  22%|██▏       | 5/23 [00:01<00:04,  4.29it/s]
epoch 205 iter 5: train loss 0.97155. lr 5.999999e-03:  22%|██▏       | 5/23 [00:01<00:04,  4.29it/s]
epoch 205 iter 5: train loss 0.97155. lr 5.999999e-03:  26%|██▌       | 6/23 [00:01<00:03,  4.43it/s]
epoch 205 iter 6: train loss 0.97218. lr 5.999999e-03:  26%|██▌       | 6/23 [00:01<00:03,  4.43it/s]
epoch 205 iter 6: train loss 0.97218. lr 5.999999e-03:  30%|███       | 7/23 [00:01<00:03,  4.28it/s]
epoch 205 iter 7: train loss 0.98625. lr 5.999999e-03:  30%|███       | 7/23 [00:01<00:03,  4.28it/s]
epoch 205 iter 7: train loss 0.98625. lr 5.999999e-03:  35%|███▍      | 8/23 [00:01<00:03,  4.88it/s]
epoch 205 iter 8: train loss 0.94266. lr 5.999999e-03:  35%|███▍      | 8/23 [00:01<00:03,  4.88it/s]
epoch 205 iter 8: train loss 0.94266. lr 5.999999e-03:  39%|███▉      | 9/23 [00:01<00:02,  5.10it/s]
epoch 205 iter 9: train loss 0.97344. lr 5.999999e-03:  39%|███▉      | 9/23 [00:01<00:02,  5.10it/s]
epoch 205 iter 9: train loss 0.97344. lr 5.999999e-03:  43%|████▎     | 10/23 [00:02<00:02,  5.07it/s]
epoch 205 iter 10: train loss 0.97133. lr 5.999999e-03:  43%|████▎     | 10/23 [00:02<00:02,  5.07it/s]
epoch 205 iter 10: train loss 0.97133. lr 5.999999e-03:  48%|████▊     | 11/23 [00:02<00:02,  4.96it/s]
epoch 205 iter 11: train loss 0.93912. lr 5.999999e-03:  48%|████▊     | 11/23 [00:02<00:02,  4.96it/s]
epoch 205 iter 11: train loss 0.93912. lr 5.999999e-03:  52%|█████▏    | 12/23 [00:02<00:02,  5.30it/s]
epoch 205 iter 12: train loss 0.95440. lr 5.999999e-03:  52%|█████▏    | 12/23 [00:02<00:02,  5.30it/s]
epoch 205 iter 12: train loss 0.95440. lr 5.999999e-03:  57%|█████▋    | 13/23 [00:02<00:02,  4.77it/s]
epoch 205 iter 13: train loss 0.96991. lr 5.999999e-03:  57%|█████▋    | 13/23 [00:02<00:02,  4.77it/s]
epoch 205 iter 13: train loss 0.96991. lr 5.999999e-03:  61%|██████    | 14/23 [00:02<00:01,  5.39it/s]
epoch 205 iter 14: train loss 0.95092. lr 5.999999e-03:  61%|██████    | 14/23 [00:02<00:01,  5.39it/s]
epoch 205 iter 14: train loss 0.95092. lr 5.999999e-03:  65%|██████▌   | 15/23 [00:02<00:01,  5.77it/s]
epoch 205 iter 15: train loss 1.00824. lr 5.999999e-03:  65%|██████▌   | 15/23 [00:03<00:01,  5.77it/s]
epoch 205 iter 15: train loss 1.00824. lr 5.999999e-03:  70%|██████▉   | 16/23 [00:03<00:01,  6.22it/s]
epoch 205 iter 16: train loss 0.98418. lr 5.999999e-03:  70%|██████▉   | 16/23 [00:03<00:01,  6.22it/s]
epoch 205 iter 16: train loss 0.98418. lr 5.999999e-03:  74%|███████▍  | 17/23 [00:03<00:00,  6.28it/s]
epoch 205 iter 17: train loss 0.97115. lr 5.999999e-03:  74%|███████▍  | 17/23 [00:03<00:00,  6.28it/s]
epoch 205 iter 18: train loss 0.92694. lr 5.999999e-03:  74%|███████▍  | 17/23 [00:03<00:00,  6.28it/s]
epoch 205 iter 18: train loss 0.92694. lr 5.999999e-03:  83%|████████▎ | 19/23 [00:03<00:00,  7.15it/s]
epoch 205 iter 19: train loss 0.90812. lr 5.999999e-03:  83%|████████▎ | 19/23 [00:03<00:00,  7.15it/s]
epoch 205 iter 19: train loss 0.90812. lr 5.999999e-03:  87%|████████▋ | 20/23 [00:03<00:00,  7.43it/s]
epoch 205 iter 20: train loss 0.95751. lr 5.999999e-03:  87%|████████▋ | 20/23 [00:03<00:00,  7.43it/s]
epoch 205 iter 20: train loss 0.95751. lr 5.999999e-03:  91%|█████████▏| 21/23 [00:03<00:00,  6.80it/s]
epoch 205 iter 21: train loss 0.96438. lr 5.999999e-03:  91%|█████████▏| 21/23 [00:03<00:00,  6.80it/s]
epoch 205 iter 21: train loss 0.96438. lr 5.999999e-03:  96%|█████████▌| 22/23 [00:03<00:00,  6.82it/s]
epoch 205 iter 22: train loss 0.93334. lr 5.999999e-03:  96%|█████████▌| 22/23 [00:03<00:00,  6.82it/s]
epoch 205 iter 22: train loss 0.93334. lr 5.999999e-03: 100%|██████████| 23/23 [00:03<00:00,  6.99it/s]

  0%|          | 0/23 [00:00<?, ?it/s]
epoch 206 iter 0: train loss 0.95201. lr 5.999999e-03:   0%|          | 0/23 [00:00<?, ?it/s]
epoch 206 iter 0: train loss 0.95201. lr 5.999999e-03:   4%|▍         | 1/23 [00:00<00:05,  4.23it/s]
epoch 206 iter 1: train loss 0.91814. lr 5.999999e-03:   4%|▍         | 1/23 [00:00<00:05,  4.23it/s]
epoch 206 iter 1: train loss 0.91814. lr 5.999999e-03:   9%|▊         | 2/23 [00:00<00:06,  3.29it/s]
epoch 206 iter 2: train loss 0.92925. lr 5.999999e-03:   9%|▊         | 2/23 [00:00<00:06,  3.29it/s]
epoch 206 iter 2: train loss 0.92925. lr 5.999999e-03:  13%|█▎        | 3/23 [00:00<00:05,  3.76it/s]
epoch 206 iter 3: train loss 0.93723. lr 5.999999e-03:  13%|█▎        | 3/23 [00:00<00:05,  3.76it/s]
epoch 206 iter 3: train loss 0.93723. lr 5.999999e-03:  17%|█▋        | 4/23 [00:01<00:04,  4.28it/s]
epoch 206 iter 4: train loss 0.97580. lr 5.999999e-03:  17%|█▋        | 4/23 [00:01<00:04,  4.28it/s]
epoch 206 iter 4: train loss 0.97580. lr 5.999999e-03:  22%|██▏       | 5/23 [00:01<00:03,  4.77it/s]
epoch 206 iter 5: train loss 0.94681. lr 5.999999e-03:  22%|██▏       | 5/23 [00:01<00:03,  4.77it/s]
epoch 206 iter 5: train loss 0.94681. lr 5.999999e-03:  26%|██▌       | 6/23 [00:01<00:03,  4.81it/s]
epoch 206 iter 6: train loss 0.96176. lr 5.999999e-03:  26%|██▌       | 6/23 [00:01<00:03,  4.81it/s]
epoch 206 iter 6: train loss 0.96176. lr 5.999999e-03:  30%|███       | 7/23 [00:01<00:03,  4.94it/s]
